Category,Sub-Category,EndpointUri,Method,Function,Complete,Notes
Threats,Disable Engines,/threats/engines/disable,POST,,NO,
Threats,Disconnect Container,/threats/actions/container-network-disconnect,POST,,NO,
Threats,Download From Cloud,/threats/{threat_id}/download-from-cloud,GET,Export-S1ThreatFiles,Kinda,Cannot fully validate due to permissions
Threats,Exclusion Options,/threats/{threat_id}/whitening-options,GET,Get-S1ThreatExclusionTypes,YES,
Threats,Export Events,/export/threats/{threat_id}/explore/events,GET,Export-S1ThreatEvents,YES,
Threats,Export Mitigation Report,/threats/mitigation-report/{report_id},GET,Export-S1ThreatMitigations,YES,
Threats,Export Threat Timeline,/export/threats/{threat_id}/timeline,GET,Export-S1ThreatTimelines,YES,
Threats,Export Threats,/threats/export,GET,Export-S1Threats,YES,Lots of parameters that are not 100% verifyied
Threats,Fetch Threat File,/threats/fetch-file,POST,,NO,
Threats,Get Events,/threats/{threat_id}/explore/events,GET,Get-S1ThreatEvents,YES,
Threats,Get Threat Timeline,/threats/{threat_id}/timeline,GET,Get-S1ThreatTimelines,YES,
Threats,Get Threats,/threats,GET,Get-S1Threats,YES,Lots of parameters that are not 100% verifyied
Threats,Mark As Threat (Deep Visibility),/threats/dv-mark-as-threat,POST,,NO,
Threats,Mitigate Threats,/threats/mitigate/{action},POST,,NO,
Threats,Reconnect Container,/threats/actions/container-network-connect,POST,,NO,
Threats,Update Threat Analyst Verdict,/threats/analyst-verdict,POST,,NO,
Threats,Update Threat External Ticket Id,/threats/external-ticket-id,POST,,NO,
Threats,Updated Threat Incident,/threats/incident,POST,,NO,
Updates,Delete Packages,/update/agent/packages,DELETE,,NO,
Updates,Deploy System Package,/upload/software/deploy,POST,,NO,
Updates,Download Agent Package ,/update/agent/download/{package_id},GET,Deprecated,N\A,Deprecated
Updates,Download Package,/update/agent/download/{site_id}/{package_id},GET,Export-S1UpdatePackages,YES,
Updates,Get Latest Packages,/update/agent/packages,GET,Get-S1UpdatePackages,YES,
Updates,Latest Packages By Os,/update/agent/latest-packages,GET,Deprecated,N\A,Deprecated
Updates,Update Package,/update/agent/packages/{package_id},PUT,,NO,
Updates,Upload Agent Package,/upload/agent/software,POST,,NO,
Updates,Upload System Package,/upload/software,POST,,NO,
Users,Api Token By User Id,/users/{user_id}/api-token-details,GET,Get-S1UserApiToken,YES,
Users,Api Token Details,/users/api-token-details,POST,,NO,
Users,Auth App,/users/auth/app,POST,,NO,
Users,Auth By Sso,/users/login/sso-saml2/{scope_id},POST,,NO,
Users,Auth Recovery Code,/users/auth/recovery-code,POST,,NO,
Users,Bulk Delete Users,/users/delete-users,POST,,NO,
Users,Change Password,/users/change-password,POST,,NO,
Users,Check Global User,/users/tenant-admin-auth-check,GET,Get-S1UserAccess,YES,Look into combining all three into 1 output object.
Users,Check Remote Shell Permissions,/users/rs-auth-check,GET,Get-S1UserAccess,YES,Look into combining all three into 1 output object.
Users,Check Viewer,/users/viewer-auth-check,GET,Get-S1UserAccess,YES,Look into combining all three into 1 output object.
Users,Create User,/users,POST,,NO,
Users,Delete User,/users/{user_id},DELETE,,NO,
Users,Disable 2fa,/users/2fa/disable,POST,,NO,
Users,Email Verification,/users/onboarding/verify,POST,,NO,
Users,Enable 2fa,/users/2fa/enable,POST,,NO,
Users,Enable 2fa App,/users/enable-app,POST,,NO,
Users,Export Users,/export/users,GET,Export-S1Users,YES,
Users,Generate Api Token,/users/generate-api-token,POST,,NO,
Users,Generate Iframe Token,/users/generate-iframe-token,POST,,NO,
Users,Generate Recovery Code,/users/generate-recovery-codes,POST,,NO,
Users,Get User,/users/{user_id},GET,Get-S1Users,YES,
Users,List Users,/users,GET,Get-S1Users,YES,
Users,Login,/users/login,POST,,NO,
Users,Login By Api Token,/users/login/by-api-token,POST,,NO,
Users,Login By Token,/users/login/by-token,GET,Connect-S1UserByToken,Kinda,Cannot fully validate
Users,Logout,/users/logout,POST,,NO,
Users,Redirect To Sso,/users/login/sso-saml2,GET,Connect-S1UserBySSO,Kinda,Cannot fully validate
Users,Request 2fa App,/users/request-app,POST,,NO,
Users,Resend 2fa Email Code,/users/{user_id}/resend-recovery-email-code,POST,,NO,
Users,Reset 2fa,/users/reset-2fa,POST,,NO,
Users,Revoke Api Token,/users/revoke-api-token,POST,,NO,
Users,Send 2fa Code,/users/2fa-recover/send-code,POST,,NO,
Users,Send Verification Email,/users/onboarding/send-verification-email,POST,,NO,
Users,Sign Eula,/users/auth/eula,POST,,NO,
Users,Update 2fa Email,/users/{user_id}/recovery-email,PUT,,NO,
Users,Update User,/users/{user_id},PUT,,NO,
Users,User By Token,/user,GET,Get-S1UserByToken,YES,
Users,Validate Verification Token,/users/onboarding/validate-token,GET,Get-S1UserTokenVerification,Kinda,Cannot fully validate
Users,Verify 2fa Code,/users/2fa-recover/verify-code,POST,,NO,
Users,Verify 2fa Email,/users/{user_id}/verify-code-recovery-email,POST,,NO,
